"OrdIndex"	"Title"	"Description"	"Location"	"Type"	"Salary"	"lon"	"lat"
"153"	153	"Rental Administrator"	" Hodgson Newcastle Limited is the multi award winning dealership group located in Newcastle and Gateshead.We’ve been supplying vehicles from Toyota, Mazda and Suzuki since 1959. Hodgson prides ourselves on putting customers first and having the best team to support this.We are not looking for a 'just a job' employee, we want a 'Team Player' who works positively together with everyone to get the job done the best way possible. * To assist with the everyday running of the Car Rental Department. To Assist with all Car rental activity including new vehicle entry, de-fleets and rentals to corporate clients, private customers and internal departments. To assist in and accurately prepare invoices and rental agreements. The successful candidate will have a friendly customer facing attitude, with excellent communication and administration skills, computer literate and a great attention to detail. Must have Full clean Driving license due to the nature of this role.*This is an Admin / Driver role Duties and responsibilities Collect and Deliver Rental Vehicles to customers. Occasionally Update Department Spread sheets and Rental Program software. Handle individual customers as necessary and reply to customer correspondence. Ensure that all vehicles are delivered and collected in a timely professional manner. Support any promotional activity and special events if / when required. Complying at all times with Company and Manufactures policies and procedures ensuring all health, safety, environmental and legal requirements are strictly adhered to. Developing and maintaining positive and professional relationships with colleagues and clients to ensure high standards of customer satisfaction are delivered. Supporting strategies to retain relationships built with existing customers whilst identifying opportunities for new business, building long - term loyalty and profitability. Working efficiently as part of the Hodgson Team. Carry out any other work related duties requested by your manager. Job Types: Full-time, Permanent Salary: £8.21 to £9.45 /hour Experience: automotive: 2 years (Preferred) Customer Service: 3 years (Required) Rental: 2 years (Preferred) Education: A-Level or equivalent (Preferred)Licence: Driving License (Required)"	"Gateshead"	"Permanent"	"£8.21 - £9.45 an hour"	-1.6057003	54.9585535
"154"	154	"Apprentice Medical Receptionist/Administrator"	" The Grove Medical Group, 1 The Grove, Newcastle upon Tyne NE3 1NU Apprentice Medical Receptionist / Administrator – Two year fixed term contract full time  £7,800 per annum in the first year, current minimum wage in second year. This is an ideal opportunity to become an apprentice and you will develop new skills and knowledge whilst working with an established team gaining valuable work experience and a recognised apprenticeship qualification. You will be employed on a fixed term contract for 2 years and are expected to complete the apprenticeship NVQ level 2 in Business Administration qualification within this time period. You will be working with both the Reception Team, dealing patients face to face, answering telephones and dealing with patients queries and working with the Administration Team, providing clerical and administration support. We are looking for an individual with a good standard of education, with English and Maths GCSE at grade A-C or grade 4 or above (or predicted), excellent verbal and written communication skills. You should be able to work as part of a team and have a pleasant manner. Those who are successful in the first round of shortlisting will be informed of interview dates. Closing dates for applications is the 24th May 2019 Job Types: Full-time, Apprenticeship "	"Gosforth"	"Apprenticeship"	"£7,800 a year"	-3.4389401	54.4185996
"155"	155	"Kitchen Porter/Assistant"	" As Kitchen Porter you will be assisting in the up-keep and cleaning of the kitchen, in a friendly environment. Main duties include: Ensure basic cleaning jobs are carried out as quickly as possible. Collect and wash up pots and pans. Clean food preparation equipment, in addition to crockery and cutlery. Keep work surfaces, walls and floors clean and sanitised. Basic food preparation The successful candidate will be a hard-working individual who has a passion for cleanliness and someone who excels in a team-work environment. Job Type: Part-time Salary: £6.50 to £8.31 /hour Experience: similar: 1 year (Preferred)Location: Hexham (Preferred)"	"Hexham"	"Part-time"	"£6.50 - £8.31 an hour"	-2.1017927	54.971478
"156"	156	"Administration Assistant"	"Assist with the office administration for a busy Accident Repair Centre. Answering the telephone and providing assistance to clients who personally attend the business premises. Provide information and repair updates to clients, work providers and referrers by telephone. General office duties to including taking accident/claim details, computer data input. Work co-operatively with colleagues, customers, suppliers and other parties as instructed. Have a good telephone manner. Perform in a suitable manner with accuracy and promptly any other tasks and duties that may from time to time be reasonably requested of you by the Companies management."	"Cramlington "	"Permanent"	NA	-1.5932099	55.0902319
"157"	157	"Floor sander"	" We are looking for a confident individual to join our team that is willing to learn and progress. Candidate must be hard working, polite and outgoing with good experience using hand tools and power tools etc. A joinery background would help but not essential aslong as you have an interest in this job. Local work around Newcastle mixed with Working up and down the country so must be willing to work away from home. CSCS card is preferred but not essential but will be needed. Drivers license is a must. Due to the nature of the job the hours aren’t always 8am 4:30pm and often a lot of this is travelling. Rate of pay will depend on the experience of the successful candidate. Bonus paid for working away from home. Job Type: Full-time Experience: construction industry: 3 years (Preferred)Licence: Drivers (Preferred)"	"Newcastle upon Tyne "	NA	NA	-1.6131572	54.9738474
"158"	158	"Receptionist"	"  Job Ref: CG2650   Branch: Holiday Inn Jesmond   Location: Holiday Inn Jesmond, Newcastle Upon Tyne   Salary/Benefits: National Minimum Wage + Benefits   Contract type: Permanent   Hours: Full Time   Shift pattern: 7am-3pm / 3pm-11pm / Mid Shifts   Hours per week: 32 / 40   Posted date: 17/05/2019   Closing date: 19/06/2019  At Cairn Group we’re ambitious. With a varied and extensive UK portfolio of hotels, bars and restaurants in our portfolio, we’re focused on continual growth and are in it for the long haul. We are a family owned business with family values at our core, with a growing team and sites UK wide.  About the role...  We are seeking a friendly, personable, customer focussed Hotel Receptionist to join our team! For us, delivering consistent exceptional customer service and looking for opportunities to exceed customer expectations wherever possible, is what's most important.  You'll provide an outstanding welcome and farewell to our guests (You are the first and last person they are likely to see,) and an exceptional customer service throughout their stay with us at the hotel. They'll also be some administrative duties which include: Telephone enquries, Reservations, Guest Arrial Reports, Preparing bills, taking payments, conduct end of shift / day banking.. Our shift pattern for Full Time work is based on 5 days from 7, Part time is Pro-Rata. This role will include weekends.  About You...  Personality is Key for this role. Experience within Customer Service. Experience as Hotel Receptionist is desirable but not essential. Experience using a PMS system is desirable but not essential.  Holiday Inn Newcastle-Jesmond is a 116 bed modern hotel. You can also enjoy a delicious meal at either the Fratello’s Italian Restaurant or the Zio Bar & Grill, or some refreshing drinks at the Terrace Bar. All three locations give you a taste of affluent Jesmond.  Benefits: IHG Staff Rate Scheme IHG Friends & Family Rate IHG Brand Training Discounted Meals whilst on shift Cairn Group Staff Discount Scheme Retail and travel discounts Recruit a friend Scheme Induction and training programme Star of the Month & Golden Ticket Award Pension scheme Cairn Academy' Training & Development Opportunities Uniform Cycle 2 work scheme* (* Applies to positions above minimum wage) "	"Newcastle upon Tyne"	NA	NA	-1.6131572	54.9738474
"159"	159	"Store Colleague"	" Here at McColl’s we pride ourselves on being UK market leaders in neighbourhood retailing. Our continued success depends entirely on the dedication of our Store teams. As a Store Colleague it will be your responsibility to ensure our customers receive the first class customer service that they have come to expect every time they visit one of our stores. It is also about talking to customers promoting various products through active selling. (*Please do not worry we will train you to do this*). Other duties will include, till and cash operation, stock control, merchandising and assisting the store management team by maintaining a clean and well-presented store at all times. We are looking for people who enjoy building relationships with customers and colleagues a like. If this sounds like you, please apply today! Benefits: colleague discount, generous colleague saving opportunities and pension scheme. To apply for this position please email your CV. For any premises that sell alcohol suitable candidates must be over the age of 18 due to licencing conditions. (Only suitable applicants will be contacted)Salary £8.21 per hour aged 25 and over, 16 Hours per week Job Type: Part-time Salary: £8.21 /hour "	"Shilbottle"	"Part-time"	"£8.21 an hour"	-1.6895212	55.3722591
"160"	160	"Welding/Manufacturing Assistant (Part Time)"	" Required for a growing business, currently manufacturing automotive accessories to the Land Rover Aftermarket however new products being introduced to our lineA position has arisen to assist the Managing Director in the day to day manufacturing of our current product range. Working as part of a small team, in a friendly environment. Duties to include:Most aspects of the business from goods in to dispatch.Quality checking at goods in. MIG WeldingFabrication of products to specified guidelinesLiaising with suppliers and delivering/collecting of supplies. Product fulfilment Candidate must have: Must be competent in all aspects of MIG weldingGood communication and literacy/numeracy skills.Able to absorb new information easily and efficiently.Full clean car driving licenseBe reliable and punctual.Able to work on own and as a team. Required:You must have at least 1 years MIG welding and general fabrication experience If we invite you in for an informal chat, a MIG welding test will be required prior to employment. Job Type: Part-time / ad hoc Salary: negotiable depending on experience, skill and work ethic Previous applicants need not apply Job Types: Part-time, Permanent Salary: £8.21 /hour Experience: MIG welding: 1 year (Required)"	"Bedlington "	"Part-time, Permanent"	"£8.21 an hour"	-1.5980826	55.1323903
"161"	161	"Ex-Military Training Instructor"	" Ex-Military Training Instructor Location: Anzio House, Newcastle Salary: £18,000 - £25,000 MPCT has recently been voted as the UK's Best Training Provider and is graded as Grade 1 Outstanding by Ofsted. We have prepared and supported over 2,500 of your Learners to join the Armed Forces with over 10,000 of our Learners going into further education or employment. In 2017 we received a TES Training Provider of the Year award and is an award winning company that are proud to hold Investors in People Gold, Best Companies 'Extraordinary' along with The Times Best 100 small companies to work for. Responsibilities and Duties The role includes supporting, coaching and motivating young people to further progress into the military and other vocational training routes. The role has the responsibility for the delivery of a City & Guilds qualification within a military context. The programme also has a military/fitness element so candidates will need to lead a fit healthy life style, enjoy physical activity as part of the delivery of the programme. The role requires the skills to engage, motivate and educate young people. Experience in delivering in a classroom environment would be an advantage. Ideally you will be an ex member of the Armed Forces and hold a professional fitness qualification (Training for a fitness qualification can be given). Each fitness class delivered will be unique, challenging and above all great fun. You will need the ability to plan academic and physical training lessons and be able to plan for the progression of each student. Qualifications and Skills A minimum of 5 years’ military career.Military or civilian Physical Training Qualification.Experience of teaching or instructing.Desirable: Infantry style skills. Benefits 8 Weeks paid holiday, Workplace pension (4%) Bupa healthcare (approx £400) Life Assurance (4 x annual salary), Uniform allowance (£200) Wellbeing contributions (£180.00 per year) Job Type: Full-time Salary: £18,000.00 to £25,000.00 /year Experience: PT: 1 year (Preferred) Teaching: 1 year (Preferred) Military: 5 years (Preferred) "	"Newcastle upon Tyne"	NA	"£18,000 - £25,000 a year"	-1.6131572	54.9738474
"162"	162	"Pound Hound"	" We are looking for an actor (male or female) to dress up in a Pound Hound outfit and be filmed handing out prizes to colleagues in the Newcastle Eldon Square Poundland Store, on the 17th May. Filming will take about 2 hours from 9:30 for a flat fee of £70. The shoot is part of a nationwide film to promote Poundland’s colleague sales incentives and shown on Poundlands Internal communications Intranet. Job Type: Temporary Salary: £35.00 /hour Experience: Maskot: 1 year (Preferred)"	"Newcastle upon Tyne"	"Temporary"	"£35 an hour"	-1.6131572	54.9738474
"163"	163	"Graduate HR Administrator"	" Graduate HR Administrator About Pulman At Pulman we pride ourselves on delivering a fantastic customer experience every time. We are a top Volkswagen Group retailer representing Volkswagen, SEAT and ŠKODA, with sites in Durham and Sunderland. With over 250 people across our group, we are truly one big Pulman family. We want to match and exceed customer’s expectations whilst giving them a truly enjoyable experience you will not find anywhere else. Why join the Pulman family At Pulman we put people at the heart of our business, encouraging everyone to grow, learn and engage. Our family values are mirrored throughout the whole business, everyone is part of the Pulman family which is why we attract and retain loyal employees. The Human Resources Team works in partnership with stakeholders within the business to develop and deliver a people plan which is aligned with the people strategy and business objectives. We are passionate, enthusiastic and we deliver a fantastic customer experience, but above all we have fun whilst we are doing it! The role This a generalist role encompassing all tasks involved in HR including the following: - Maintaining employee records and ensuring all contractual/legal documents and templates are kept up to date and in line with current legislation Administrative tasks in line with HR responsibilities Producing and maintaining organisational charts Training planning and administration Supporting HR Projects as required The person You must have a degree or equivalent qualification, ideally within a business management discipline with a desire to pursue a career in either Human Resources, Training & Development or General Management. This is an entry level role and therefore no previous experience in HR is essential. Top qualities you’ll need to have to succeed in this role are: - Positive attitude Resilience Willingness to learn Communication Empathy If you know you have these qualities and you want to start your career with the Pulman Family please apply in writing, including a covering letter and CV to Lauren Tupling. This role is based at Pulman Volkswagen Durham, but you may be required to work at any of the Pulman Group sites. This role is full time, Monday to Friday 8.30am – 5pm. Salary £18,000pa Job Type: Full-time "	"Durham"	NA	"£18,000 a year"	-1.5758539	54.7764152
"164"	164	"Head of Strategy, Planning and Performance"	"As Head of Strategy, Planning and Performance you will be responsible for developingand directing the strategy and managing performance across the NHSBSA, ensuring the organisation remains alert to and supporting of NHS market changes.  You will be responsible for ensuring the performance and delivery of the NHSBSA Strategy is reported to the Board, Leadership Team and wider organisation.. You will role model and actively participate in achieving the NHSBSA purpose and goals through the development of organisational and directorate culture that is open empowers innovation and champions’ on-going service development and performance improvement.  You will develop relationships with the wider NHS and Partner Organisations to ensure strategies and performance are aligned. You will understand cross NHSBSA activities and new business opportunities such as portfolio positioning, strategic marketing, and investment prioritisation in national and surrounding geographic regions; deploying large-scale account strategies in conjunction with the Executive Director and Leadership Team in order to achieve aims and objectives set for the business. You will support the Executive Director on providing strategic support across the NHSBSA to ensure development is commercially viable, customer and positive driven and which adds value to the wider health system.  Deputise for the Executive Director of Strategy, Performance, Business Development and Growth when required."	"Newcastle upon Tyne "	NA	"£61,777 - £72,597 a year"	-1.6131572	54.9738474
"165"	165	"Class 1 Tramper"	" CBS are working on behalf of their client based in Newcastle, who are requiring Class 1 drivers, with immediate starts available. Due to continued growth, drivers are encouraged to apply who are looking to get away tramping, with usual working weeks, starting Monday, finishing normally Friday with potentially running in on a Saturday. Drivers must have: CPC and digital tachograph 1 years experience on class 1 Curtain side experience Pay Rate: £10.50 Monday to Friday £22 per night out Job Type: Temporary Salary: £10.50 /hour Experience: on class 1: 1 year (Preferred)Licence: digital tachograph (Preferred) CPC (Driver Certificate of Professional Competence) (Preferred) Flexible Working Options Available: Not offered"	"Newcastle upon Tyne "	"Temporary"	"£10.50 an hour"	-1.6131572	54.9738474
"166"	166	"Womenswear Design Student Placement"	"   Barbour began manufacturing clothing over 100 years ago here in the North East of England when founder John Barbour opened a store selling oilskin coats, designed to protect the growing community of sailors and fishermen from the worst of the British weather.   Today, Barbour is a fifth-generation family owned British business and holds three Royal warrants. The brand is sold in over 40 countries including Germany, France, Italy, Spain, the US and Japan, and has broad appeal for both countryside and city.   Barbour is a British Lifestyle Brand, stocking Menswear, Womenswear, Footwear, Accessories and a range for Dogs. The company remains committed to honouring its rich heritage by continuing to provide world-class customer service and products with exceptional quality worldwide.   Barbour’s Student Placement Roles  In Barbour’s paid placement programme, students get a full immersion into the brand’s culture for a six-month period. During this time, our Placement Students become an integral part of the team, tackling complex business challenges, contributing to the company’s growth and building relationships and skills that they will then carry forward throughout their career. The focus of this role is to support the Womenswear Design team.   The main responsibilities of the role include:  Updating and producing specification boards showing designs and details with all specification information clearly presented.  Updating and producing matrix boards categorising all designs in each segment area.  Existing garment research: styles, price ranges, comparative brands  Produce presentation boards of your research and presenting them to the designer; create mood boards and presentation boards.  Assisting with the formatting and inputting of data into PowerPoint presentations for in house sales launch and GSM  Attending regular team meetings on deadline updates   The Person Must be participating in an undergraduate programme Desirable to be able to demonstrate a keen interest in British Heritage Brands.   Knowledge and Skills Required Highly organised. Working knowledge of Microsoft business packages Strong communication skills. Proactive & flexible. Working knowledge of Cad. Illustrator / Photo shop / Prezi   Additional Information  Salary - £100 per week as well as £5 per day travelling expenses  Annual Holidays - 25 days paid holiday + bank holidays  Staff discount - A staff discount purchase scheme is available to all placement students.  The role is based in Head Office: Barbour House, Simonside, South Shields, NE32 3EG  To apply for this role applicants must be studying on a UK Sandwich Degree course  Please attach a portfolio link to your CV.  This placement is a 12-month placement starting in July 2019.  "	"South Shields"	NA	NA	-1.4321848	54.9987414
"167"	167	"Client Services Executive"	"  Purpose of the Role  The Client Services team mission is to ensure all clients receive the best customer experience and understand the true value of Partnerize to grow revenue.  As a member of the Client Services team, you will provide support, training and guidance to Partnerize’s customers – primarily in the EMEA region but also globally; educating and consulting them on how to use our software. Your role will also include on-boarding new clients and their partners to our Partner Management Platform. Occasionally you will travel to meet clients, manage or partake in internal or customer facing projects and also provide training to customers and internal teams.  Essential knowledge, skills, and abilities  Client or customer support experience Teamwork, strong work ethic and enthusiasm to learn Ability to communicate technical information to a non-technical audience Strong prioritisation and organisational skills Strong interpersonal and soft skills Comprehensive computer literacy Problem solving skills Desirable knowledge, skills, and abilities  Experience in digital marketing Understanding of online tracking methodologies Experience writing guides and training material Project Management skills Previous experience in external or internal training Marketing, Advertising or Business degree At least working proficiency in any of the following languages: German, French, Italian, Spanish Key Responsibilities  Provide customer support for Partnerize’s clients and partners Assist on-boarding of new clients and partners to the Partnerize platform Train clients on the Partnerize software and services Provide documentation for both internal and external use Process translation of documents, support tickets and platform content Liaise with internal teams to ensure we provide extensive service for clients Manage tasks and projects, ensuring deadlines and KPIs are met Host and contribute to team meetings Attend client facing events such as QBRs, deployment days and training sessions (includes occasional travel for work)   "	"Newcastle upon Tyne"	NA	NA	-1.6131572	54.9738474
"168"	168	"Training Consultant - Employability Team"	"  Permanent, full-time post | Salary: up to £27,744 per annum Location: Derwentside College, Consett Closing Date: Sunday 02 June 2019  Are you interested in joining a dynamic and progressive organisation, with a clear vision to be the number one College in the North East?  Why Derwentside College?  Derwentside College is the top performing college in the country for student satisfaction and in the top 10% nationally for achievement. We are an ambitious organisation with exciting plans to improve and develop our curriculum for full-time learners and increase recruitment of school leavers. We are seeking to recruit a talented practitioner with the ability to deliver across a range of foundation learning and employability programmes. You will have the desire to support young people - some with learning difficulties or disabilities - towards their aspirational career by raising and supporting their ambitions. We are a values-driven organisation, with the highest expectations of our learners – we expect all of our staff to strive to live these values and place learners first. What you will do? The person appointed will play an instrumental role in this high performing department. You will be passionate about supporting young people towards their chosen careers and be an expert at broadening their horizons and removing barriers to learning and employment. You will hold, be working towards, or be willing to work towards a relevant teaching or assessing qualification and be capable of delivering excellent training to young people and adults. What’s in it for you? 35 days annual leave plus statutory bank holidays Christmas closure days Automatic entry to the Local Government Pension Scheme Flexible working Annual staff celebration day Continuous professional development Free on-site parking Free use of the on-site gym  This is a permanent, full-time post and the starting salary will depend upon an individual’s level of experience.  The College is positively committed to safeguarding and promoting the welfare of the children, young people and vulnerable adults who attend its education and training provision. All staff are expected to share this commitment. The person appointed will be required to obtain a satisfactory DBS Enhanced Disclosure. As an equal opportunities employer, the College welcomes applicants from all sections of the community.  Applications can be completed online, alternatively email HR@derwentside.ac.uk to request a pack. No Agencies. For an informal discussion regarding the role, please contact Lindsey Dart – Head of Faculty on (01207) 585927. Closing date for applications – Midnight Sunday 2nd June 2019 Interview date – Monday 17th June 2019   Click here for information on the College's privacy policy This job advert may close as soon as sufficient suitable applications have been received. If interested please apply for this post as soon as possible.   "	"Consett"	NA	"£27,744 a year"	-1.8333741	54.8518781
"169"	169	"Customer Team Member"	" Customer Team Member (Customer Assistant) Location: 31 Market Street, Newcastle Upon Tyne, NE1 6JE Pay: £8.38 per hour & amazing benefits Contract: 16 hours per week + regular overtime, part time No experience needed as full training given  Working pattern: Various shifts to include evenings and weekends. Working as a customer assistant is more than stacking the shelves. Our stores are a huge part of the community and everything you do will be focused on providing a great service to our customers and members. Whether that’s working early mornings in our in-store bakery, during the day on the shop floor, or working late evenings to help close the store, every customer assistant can expect to do something different every day. What you’ll do as a customer assistant:deliver friendly and helpful customer service take time to listen and confidently resolve customer queries prepare, present and handle all store products (including packaged meat and age-restricted items) make sure the shop always looks its best by keeping it clean and tidy work in a fast paced environment on different tasks throughout the day promote Co-op membership and make a difference in your community  Being a customer assistant would suit people who have:a real passion for customer service great communications and listening skills the ability to work as a team and achieve team and individual goals an enthusiastic approach to work and a willingness to support your colleagues when the store gets busier the flexibility to work a range of shifts to support the opening times of the store  Why Co-op? As a Co-op colleague you’ll do work that matters in an organisation where principles are just as important as profits. You’ll also get a package that includes:a competitive rate of pay including an increase after 6 months premium rates for any hours worked before 6am or after 10pm and if you work on a public holiday (not including bank holidays) flexible working times, as well as regular overtime 10% discounts on all food products, including 20% on own brand at payday weekend discounts on other Co-op products and services a pension with up to 10% employer contributions  Building an inclusive workplace We’re actively building diverse teams and welcome applications from everyone. But simply having a diverse workforce is not enough. We want to build an inclusive environment, where everyone can contribute their best work and develop to their full potential. We celebrate our differences, and recognise the importance of our teams reflecting the communities they serve.   As a convenience retailer, our stores are open for when our customers need us, so we need candidates to be flexible of when they’re willing to work. At interview, we’ll ask you to provide additional times for when you can work during the week, we call this preferred availability and will help make sure our stores are always fully staffed for our customers and members.  Please note that we can only accept candidates aged 18 or over as this role requires working before 6am, after 10pm or involves working in one of our Petrol Forecourts. As part of your application you’ll need to complete an online assessment. It will take you around 20 minutes to complete this test. "	"Newcastle upon Tyne "	NA	"£8.38 an hour"	-1.6131572	54.9738474
"170"	170	"Multi Drop - Non LGV - Driver"	" An exciting new Multi-Drop Van Driver opportunity at DX!   All about you  You will be friendly, hard-working and love the buzz of getting things done. We value team players and here at DX we are committed to providing our people with the technical and personal skills to progress their careers.   About us  We think we are more than just a delivery company. We know each item tells a story and we know that for someone, somewhere, it’ll make their day, or not - if we fail!   DX is the specialist provider of customer-driven solutions for time sensitive, mission critical, high value and secure items delivery. DX routinely handles goods from many high street retailers and industry sectors including homeware, high street fashion, optical lenses, pharmacy items and jewellery along with legal documents, the UK Government and foreign embassies for identity documents and visas.   Our brand is what we do every day and our values set the tone for how we want our colleagues to go about their business of delivering the Delivered Exactly promise. Our goal every day is to deliver on our promises, so you can deliver on yours.   What will it feel like to be part of our team?  At DX, we know our people are our foundation of success. We are passionate about your career progression with us. We strive to develop and promote from within whenever we can, so if you want to develop your career DX will provide the training and the opportunities!   Role summary:  To collect deliver customers’ products to the required premises ensuring all customers receive exceptional customer service as part of a multi-drop delivery route. The driver will ensure that all products are transported by van safely to the customers’ premises, treating their freight as if it were their own.   Key responsibilities Proven track record of driving 3.5t vehicles in a safe and legal manner ensuring compliance with all legal requirements Collect and Deliver goods to customers’ premises ensuring deliveries are made within customer Service Level Agreements Good geographical knowledge and the ability to navigate using maps whilst gaining local knowledge Takes pride in delivering exceptional customer service and has the ability to build a rapport with others Solving customer problems at the point of delivery   Additional information on this role  A current driving licence is essential for this role. This is an active role and a great opportunity to thrive in a fantastic team environment and grow with the company.   Benefits: Holidays: 20 days + bank holidays Pension, Life Assurance, discounted gym membership, full uniform and other additional benefits Excellent opportunities for career progression and more!!    We look forward to hearing from you! "	"Newcastle upon Tyne"	"Permanent"	"£8.50 an hour"	-1.6131572	54.9738474
"171"	171	"Sales Advisor (8 hours)"	" About Select Fashion:  Select Fashion is a high-street women’s-wear retailer aimed at 18-45 year olds. With up to 4,000 products and new lines added each week, Select offers quality products inspired by the latest fashion trends at an affordable price. Select is focused on delivering high retail standards in store and excellent customer service. We are looking for a motivated, enthusiastic individual with a ‘can do’ attitude. We need you to be a ambassador, to keep up the the company’s standards while delivery the best customer service. Job Responsibilities:  - Maximising sales as a friendly and knowledgeable team member - Deliver outstanding customer service across all areas of the store - Great communication skills - Maintain high retail standards - Be confident, positive and enthusiastic - Promote offers in store - Work individually and as part of a team - Maintain cleanliness of store - Protect store profits against theft and poor handling of stock - Reliable This job posting is for a 8 hour Sales Advisor. Candidates must be flexible as shifts range from 9-6 Monday to Saturday. Previous retail experience preferred (not essential). Job Type: Part-time Salary: £4.35 to £8.21 /hour "	"Consett"	"Part-time"	"£4.35 - £8.21 an hour"	-1.8333741	54.8518781
"172"	172	"Digital Surveyor"	" Are you a land or building surveyor looking for an opportunity to move into 3D laser scanning? Or a laser scanning surveyor looking for a new challenge? Three Sixty Group are looking for a surveyor to join our expanding team to assist with our interesting and varied laser scanning projects throughout the UK and further afield. Experience in one or more of the following: land surveying, measured building surveying or 3D laser scan surveying Ability to work independently and as part of a team Enthusiastic and motivated A full UK driving licence Job Type: Full-time Salary: £17,000.00 to £25,000.00 /year "	"Newcastle upon Tyne"	NA	"£17,000 - £25,000 a year"	-1.6131572	54.9738474
"173"	173	"Kitchen Porter | Seasonal Role"	" We’re all about people. Why else would we be in hospitality? What will I be responsible for as Kitchen Porter? We like individuality, and not just in our people. If you are the kind of person who likes to work within a busy team where taking pride in what you do and keeping the workplace spotlessly clean is “just the way you are” then working as a Kitchen Porter with us is the perfect job for you.Kitchen Porters are a crucial part of our kitchen team who support the chefs and restaurant staff by making sure that there is always clean equipment available and that the kitchen is a safe and hygienic place to work. Where Will You Be Working? Slaley Hall Hotel is located in the beautiful Northumberland countryside, within an hour drive of the cities of Newcastle and Sunderland. Set in 1,000 acres of beautiful grounds, this is the perfect hotel for a leisure break, with 36 holes of golf, excellent conference facilities that can hold up to 250 delegates at any one time, two restaurants and modern leisure and spa facilities. The hotel features 141 spacious bedrooms that are sure to wow any guest. The very close and supportive team at the resort make sure all new colleagues are quickly welcomed and settled into the team.For those who are new to the area and need some assistance relocating you can take advantage of temporary live-in accommodation on-site. As well as retail, golf and hotel stays discounts, employees have access free of charge to our leisure club including a swimming pool and a gym. We offer fantastic development opportunities to staff through both on-the-job learning and formal training courses. What’s in it for you? Discounts across retail, restaurants, events etc. (because we know life isn’t just about work) Family and Friends discounts in hotels across the Almarose estate (that'll make you really popular!) Leisure Club/Gym complementary membership Parking on site for free Meals for free on shift – hard work is hungry work! Progression and career development opportunities across the UK, with training and support with course fees Incentive programmes Pension Scheme Access to an Employee Assistance Programme, 24/7, 365 days a year. Is this Kitchen Porter role right for me? We are looking for someone who can communicate well with others, can carry out instructionas and can cope with the physical demands of regular cleaning duties, lifting and carrying in our kitchen and back of house areas . Experience is not necessary as full training will be provided. Who are Almarose Hotels? Almarose Hotels are an independent Hotel Management company who own and operate an award-winning portfolio of 21 4 and 5* properties throughout the UK. It’s an exciting time to join our portfolio; our strategy is to develop and invest in our properties and employees, with opportunities that span across beautiful countryside and bustling city centre locations – each offering a truly unique experience for our guests, and exemplary professional development and careers for you. Job Types: Full-time, Temporary "	"Slaley"	"Temporary"	NA	-1.5935432	53.1133768
"174"	174	"Administrative Officer"	" We are looking to recruit an experienced, hard-working Administrative Officer to work with our client based in Durham on a full-time, temporary basis until December 2019. This position offers full-time, Monday - Friday hours with the pay rate of £9.36 per hour. The purpose of the role is to provide effective administrative and clerical support to the Operations Manager/s within the department. Duties/Responsibilities; Provide core administrative functions to support the work of the Specialist Teams; Oversee the provision of administrative support to OPS/FF staff within designated buildings, including day to day allocation of work; Support the Team Leader, Service Support, in the delivery of all buildings management functions; Provide proactive support to inspection arrangements, e.g. file preparation, and provide a liaison role where appropriate Provide core administrative functions to support the work of the Operations Manager; Ensure that business needs are prioritised and managed effectively; Provide proactive support to inspection arrangements, e.g. file preparation, and provide a liaison role where appropriate; Carry out other duties commensurate with the grade of the post. Administrative Duties:  Supporting the OPS/FF staff in the locality in the provision of general clerical and administrative support; Assist with general typing duties – reports, letters, genograms, chronologies etc; Assist with reception duties (receiving visitors, taking calls & messages, dealing with queries); To take a lead and oversee cover arrangements within designated buildings Managing incoming communications (email, post, telephone calls) and highlighting/prioritising key points to follow up; To create electronic documents, reports, letters etc from copy and dictation To highlight issues of a urgent nature to relevant senior members of the team; Set up and maintain electronic and manual filing systems; Organise travel, accommodation and hospitality requirements. Finance experience would be an advantage. Full job description available on application. Job Type: Temporary Salary: £9.36 /hour Experience: Administration: 1 year (Preferred) Finance: 1 year (Preferred) Licence: BTEC National in Public Administration/NVQ 3 Business Admin (Preferred)"	"Consett"	"Temporary"	"£9.36 an hour"	-1.8333741	54.8518781
